Asociatia Radautiul Civic ,0741 975 076,radautiulcivic@gmail.com,https://www.radautiulcivic.ro/,https://www.facebook.com/radautiulcivic,
Fundatia Profilaxis,723806828,fundatia.profilaxis@yahoo.com,https://www.profilaxis.ro/,https://www.facebook.com/fundatiaprofilaxis,https://helptohelpukraine.ro/2023/02/24/impreuna-pentru-sanatate/
Societatea pentru Copii si Parinti (SCOP),-,scop_org@yahoo.com,http://www.scop.org.ro/,https://www.facebook.com/OrganizatiaSCOP,
ASSOC - Asociatia Profesionala Neguvernamentala de Asistenta Sociala,"0744503715
0749022697","florian.salajeanu@assoc.ro
liana.munteanu@assoc.ro ",https://www.assoc.ro/,https://www.facebook.com/asociatia.assoc,https://helptohelpukraine.ro/2023/01/13/caldura-si-familiar-pentru-combaterea-izolarii/
Asociatia Esperando ,0362/401363,office@esperando.ro,https://esperando.ro/,https://www.facebook.com/asociatia.esperando,
Autism Baia Mare,742993067,office@autismbaiamare.ro,http://www.autismbaiamare.ro/,https://www.facebook.com/autismbm,https://helptohelpukraine.ro/2023/01/13/limbajul-prieteniei-este-universal/
Star of Hope,-,cameliatopala76@yahoo.com,https://starofhope.ro/,https://www.facebook.com/star.of.hope.ro,
Fundatia Serviciilor Sociale Bethany,0745 532343 / 0787 438786,contact@bunaziuacopii.ro,https://www.bunaziuacopii.ro/,https://www.facebook.com/bz.ro.bd,https://helptohelpukraine.ro/2023/01/13/centrul-comunitar-de-sprijin-pentru-copii-si-familii-din-ucraina/
Asociatia Buna Ziua Copii din Romania,0745 532343 / 0787 438786,contact@bunaziuacopii.ro,https://www.bunaziuacopii.ro/,https://www.facebook.com/bz.ro.bd,
Fundatia Inima de Copil,-,office@inimadecopil.ro,https://inimadecopil.ro/,https://www.facebook.com/inimadecopilgalati,
Asociatia Club Sportiv Olimpic Snagov,744308640,tiberiu.simulescu@gmail.com,,https://www.facebook.com/Integration-Resilience-through-sport-for-Ukrainian-refugees-102298759169236/,https://helptohelpukraine.ro/2022/09/10/o-vara-cu-arta-si-sport-pentru-copiii-ucraineni-in-mijlocul-linistii-unei-paduri/
Asociatia Carusel,0757 586 514,office@carusel.org; refugiati@carusel.org,https://carusel.org/,https://www.facebook.com/Carusel,
Organizatia Natonala Cercetasii Romaniei,-,,https://scout.ro/,https://www.facebook.com/ONCercetasiiRomaniei,https://helptohelpukraine.ro/2023/01/13/cercetasii-sprijina-ucrainenii/
Fundatia Internationala pentru Copil si Familie (FICF),-,"andreeadene@gmail.com
office@ficf-romania.ro",https://www.ficf-romania.ro/,https://www.facebook.com/FICFoficial,
Fundatia Sera Romania,"0040 21 231 5416
00402123 5417",office@sera.ro,https://www.sera.ro/seraromani,https://www.facebook.com/SeraRomania,
Fundatia Estuar,314171888,office@estuar.org,https://www.estuar.org/,https://www.facebook.com/Fundatia-Estuar-332024717001234,
ALIAT for Mental Health,-,,https://aliat-ong.ro/,https://www.facebook.com/ALIATONG,https://helptohelpukraine.ro/2022/11/10/spatii-sigure-pentru-discutii-grele/
Asociatia Q-Arts,-,contact@muzeulabandonului.ro,https://muzeulabandonului.ro/,https://www.facebook.com/muzeulabandonului,
Hands Across Romania,40 758 045 941,office@handsacross.ro,https://www.handsacross.ro/,https://www.facebook.com/handsacrossromania,
Federatia Organizatiilor Neguvernamentale pentru Copil (FONPC) ,-,office@fonpc.ro,https://fonpc.ro/,https://ro-ro.facebook.com/people/FONPC/100064481358631/,https://helptohelpukraine.ro/2022/09/10/ateliere-de-storytelling-pentru-profesionistii-care-asista-refugiatii-din-ucraina/
Asociația de Ajutor AMURTEL România,40743161757,,https://amurtel.ro/,https://www.facebook.com/amurtel.romania,
Create Yourself,-,contact@cys.ro,https://www.cys.ro/,https://www.facebook.com/AsociatiaCreateYourself,https://helptohelpukraine.ro/2023/02/27/biroul-mobil-de-suport/
Fundația FARA,-,office@faracharity.ro,https://faracharity.ro/,https://www.facebook.com/fundatiafara,
Fundația Parada,-,i.jugureanu@paradaromania.ro,https://paradaromania.ro/,https://www.facebook.com/Fundatia-Parada-790881617738650,https://helptohelpukraine.ro/2022/10/20/rolul-circului-social-in-momentele-de-criza-umanitara/
Asociația YouHub,-,office@youhub-association.ro,https://www.youhub-association.ro/,https://www.facebook.com/youhub.association,https://helptohelpukraine.ro/2022/11/07/integrare-pe-termen-lung/
